File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95473,001269,9/1/2024,9/30/2024,567,28.35,22.68,5.67,10/21/2024,YUE LLC,Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95372,001429,9/1/2024,9/30/2024,28238,1411.9,1129.52,282.38,10/17/2024,Sungwon Rockville LLC,Rockville,MD,20851,"Rockville, MD 20851
(39.07699, -77.11784)"
95127,000409,9/1/2024,9/30/2024,2591,129.55,103.64,25.91,10/2/2024,Muhn Inc,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95232,001172,9/1/2024,9/30/2024,1201,60.05,48.04,12.01,10/10/2024,M&M CALCAGNO LLC DBA GEMELLI'S ITALIAN MARKET,Gaithersburg,MD,20878,"Gaithersburg, MD 20878
(39.12004, -77.23908)"
95167,003837,9/1/2024,9/30/2024,5,0.25,0.2,0.05,10/7/2024,RETAIL CONCEPTS INC,,TX,77477,"TX 77477
(29.6148, -95.55709)"
95130,000622,9/1/2024,9/30/2024,598,29.9,23.92,5.98,10/2/2024,Comfort One Shoes L-34,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95347,000219,9/1/2024,9/30/2024,12709,635.45,508.36,127.09,10/16/2024,"Shalom Strictly Kosher Meats, Inc.",Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95162,000285,9/1/2024,9/30/2024,11253,562.65,450.12,112.53,10/7/2024,guatemalteca bakery inc,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95290,000581,9/1/2024,9/30/2024,499,24.95,19.96,4.99,10/15/2024,Sterling Jewelers Inc.,,OH,44333,"OH 44333
(41.13187, -81.60748)"
95530,000141,9/1/2024,9/30/2024,460,23,18.4,4.6,10/25/2024,"Williams-Sonoma Stores, Inc.",,CA,94109,"CA 94109
(37.80203, -122.41963)"
95439,000628,9/1/2024,9/30/2024,1197,59.85,47.88,11.97,10/18/2024,Krispy Kreme Doughnut Corporation,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95404,000030,9/1/2024,9/30/2024,317,15.85,12.68,3.17,10/17/2024,LUSH HANDMADE COSMETICS,,MD,00000,MD 00000
95258,000765,9/1/2024,9/30/2024,4200,210,168,42,10/13/2024,"Chevy Chase Marketing, Inc",Chevy Chase,MD,20815,"Chevy Chase, MD 20815
(38.98249, -77.08722)"
95289,001401,9/1/2024,9/30/2024,7251,362.55,290.04,72.51,10/15/2024,PALMERAS LATINO MARKET INC,Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95240,000096,9/1/2024,9/28/2024,19362,968.1,774.48,193.62,10/11/2024,Shopper's Food Warehouse,,MN,55440,"MN 55440
(44.97902, -93.26494)"
95511,005061,9/1/2024,9/30/2024,23668,1183.4,946.72,236.68,10/23/2024,MITRA QSR KNE LLC,,TX,75024,"TX 75024
(33.08178, -96.82128)"
